table,column,ts_type,nullable,table_role,column_description
admin_emails,email,string,NO,管理者メールの許可リスト,メールアドレス
announcements,body_md,string,NO,サイトのお知らせ管理,本文（Markdown）
announcements,category,string,NO,サイトのお知らせ管理,カテゴリ
announcements,created_at,string,NO,サイトのお知らせ管理,作成日時
announcements,created_by,string | null,YES,サイトのお知らせ管理,created_by（announcements）
announcements,expires_at,string | null,YES,サイトのお知らせ管理,有効期限
announcements,id,string,NO,サイトのお知らせ管理,主キーID
announcements,link_url,string | null,YES,サイトのお知らせ管理,リンクURL
announcements,pinned,boolean,NO,サイトのお知らせ管理,固定表示フラグ
announcements,published_at,string,NO,サイトのお知らせ管理,公開日時
announcements,title,string,NO,サイトのお知らせ管理,タイトル
announcements,updated_at,string,NO,サイトのお知らせ管理,更新日時
artists_bank_accounts,account_name_kana,string,NO,作家の振込先口座情報,口座名義（カナ）
artists_bank_accounts,account_number,string,NO,作家の振込先口座情報,口座番号
artists_bank_accounts,account_type,string,NO,作家の振込先口座情報,口座種別
artists_bank_accounts,bank_code,string,NO,作家の振込先口座情報,銀行コード
artists_bank_accounts,branch_code,string,NO,作家の振込先口座情報,支店コード
artists_bank_accounts,external_user_id,string,NO,作家の振込先口座情報,外部ユーザーID
artists_bank_accounts,id,number,NO,作家の振込先口座情報,主キーID
artists_bank_accounts,updated_at,string,NO,作家の振込先口座情報,更新日時
aura_first20_redemptions,converted_to_meish_at,string | null,YES,AURAの初期特典利用履歴,converted_to_meish_at（aura_first20_redemptions）
aura_first20_redemptions,created_at,string,NO,AURAの初期特典利用履歴,作成日時
aura_first20_redemptions,email,string,NO,AURAの初期特典利用履歴,メールアドレス
aura_first20_redemptions,request_id,string | null,YES,AURAの初期特典利用履歴,リクエストID
aura_first20_redemptions,used_at,string,NO,AURAの初期特典利用履歴,使用日時
aura_meish_free_claims,created_at,string,NO,AURA→ME-ISH無料付与の利用記録,作成日時
aura_meish_free_claims,email,string,NO,AURA→ME-ISH無料付与の利用記録,メールアドレス
aura_meish_free_claims,entry_id,number | null,YES,AURA→ME-ISH無料付与の利用記録,作品エントリーID
aura_meish_free_claims,request_id,string | null,YES,AURA→ME-ISH無料付与の利用記録,リクエストID
aura_meish_free_claims,used_at,string,NO,AURA→ME-ISH無料付与の利用記録,使用日時
aura_promo_counters,key,string,NO,プロモーション上限のカウンタ管理,管理キー
aura_promo_counters,limit_count,number,NO,プロモーション上限のカウンタ管理,上限数
